OBJECTID,INTERZONE,NAME,TOTPOP2011,RESPOP2011,HHCNT2011,STDAREAHA,STDAREAKM2,POPULATION,FIVE_YEAR_POPULATION,ACC_POIS_PER_1000,ASSAULT_RATE_PER_1000,BURNS_PER_1000,FALLS_PER_1000,GYN_AND_OBS_PER_1000,HOME_ACCIDENTS_PER_1000,INJURY_OTHER_PER_1000,INTENTIONAL_SELF_HARM_PER_1000,MEDICAL_CONDITION_PER_1000,NEEDLESTICK_PER_1000,PERSONAL_ACTIVITY_PER_1000,PLAYING_PER_1000,PSYCHIATRIC_CONDITION_PER_1000,ROAD_TRAFFIC_ACCIDENT_PER_1000,RTA_PEDESTRIAN_PER_1000,SPORTING_INJURY_PER_1000,SURGICAL_CONDITION_PER_1000,UNSPECIFIED_PER_1000,NO_OF_TOP_5S_ADJUSTED,ACORN_GROUP,SHAPE__AREA,SHAPE__LENGTH,SHAPEAREA,SHAPELEN
47,S02001894,Parkhead West and Barrowfield,5709,5492,2827,219.608018,2.196081,7465,37325,1.39316812,4.15271266,1.63429337,19.18285332,4.71533825,1.25920965,89.8593436,2.38446082,175.35164099,0.16075017,0.58941728,1.90221031,4.90288011,3.50971199,0.37508372,2.38446082,24.27327528,161.55391829,3,Difficult Circumstances,2196080.17744446,11179.40496654,2196080.17719179,11179.4049665383
48,S02001895,Parkhead East and Braidfauld North,3166,3144,1649,88.75964,0.887596,3596,17980,0.83426029,3.05895439,1.50166852,11.7352614,4.61624027,0.83426029,74.58286986,2.16907675,119.74416018,0.16685206,0.22246941,1.27919911,4.61624027,3.44827586,0.61179088,1.94660734,16.68520578,120.74527253,,,887596.4082489,6738.42616656,887596.408339,6738.42616655072
49,S02001896,Braidfauld,5637,5570,2797,202.898033,2.02898,6652,33260,0.48105833,2.64582081,1.3229104,13.65003007,3.90859892,1.23271197,83.85447986,1.35297655,138.27420325,0.21046302,0.39085989,2.25496091,2.43535779,3.96873121,0.3307276,2.13469633,17.94948888,116.80697535,,,2028980.29981995,10837.03838162,2028980.29987787,10837.0383816161
50,S02001897,Shettleston South,3887,3863,1664,244.41591,2.444159,3810,19050,0.57742782,1.99475066,0.89238845,12.75590551,2.25721785,0.62992126,72.02099738,0.99737533,97.21784777,0.05249344,0.20997375,1.20734908,3.41207349,3.98950131,0.31496063,2.57217848,16.69291339,88.45144357,,,2444159.07006836,10094.53834742,2444159.07021016,10094.5383474214
51,S02001898,Carmyle and Mount Vernon South,2701,2635,1187,135.176755,1.351766,2632,13160,0.15197568,1.36778116,1.443769,20.97264438,1.97568389,1.443769,80.47112462,1.06382979,138.44984802,0.07598784,0.22796353,1.67173252,1.36778116,3.11550152,0.07598784,2.43161094,21.58054711,106.00303951,,,1351767.54057312,10405.81452586,1351767.54055772,10405.8145258647
52,S02001899,Mount Vernon North and Sandyhills,3766,3760,1569,127.125764,1.271258,3525,17625,0.34042553,1.19148936,0.79432624,10.15602837,1.81560284,0.68085106,70.9787234,0.56737589,78.92198582,0.05673759,0.28368794,1.53191489,1.24822695,2.55319149,0.17021277,1.92907801,13.16312057,73.81560284,,,1271257.6277771,8556.47064254,1271257.627767,8556.47064254263
53,S02001900,Baillieston West,3842,3842,1762,75.656481,0.756566,3607,18035,0.60992515,1.99611866,1.10895481,11.97671195,2.66149154,0.72082063,80.06653729,1.55253673,117.60465761,0,0.44358192,1.71887996,3.27141669,3.10507347,0.16634322,1.60798447,19.35126144,102.19018575,,,756564.80957031,5080.51892428,756564.809485,5080.51892427958
54,S02001901,Baillieston East,5313,5251,2270,609.342024,6.09342,7128,35640,0.47699214,1.9640853,0.81369248,11.61616162,2.52525253,1.03815937,75.19640853,0.44893378,97.30639731,0.05611672,0.22446689,1.90796857,0.84175084,3.14253648,0.05611672,2.55331089,15.01122334,77.07631874,,,6093420.32331848,21041.98592011,6093420.32333994,21041.9859201134
55,S02001902,Garrowhill West,4296,4292,1710,107.328005,1.073282,4096,20480,0.48828125,1.07421875,0.68359375,10.20507813,1.953125,0.83007813,70.3125,0.24414063,79.34570313,0.09765625,0.14648438,1.3671875,0.83007813,2.9296875,0.1953125,1.7578125,13.96484375,71.58203125,,,1073280.04647827,7363.1539496,1073280.0465825,7363.1539495979
56,S02001868,Strathbungo,5617,5520,2951,56.609999,0.566098,5917,29585,0.43941186,1.45343924,1.52104107,12.60774041,1.21683285,2.6702721,73.6183877,1.0816292,102.45056617,0.10140274,1.04782829,2.46746662,2.3998648,3.78570221,0.2704073,6.82778435,10.68108839,43.60317729,,,566099.9848938,5925.31228737,566099.984859,5925.31228737994
57,S02001869,Maxwell Park,5929,5834,2330,360.290675,3.602903,5866,29330,0.17047392,1.0228435,1.56836004,17.83157177,1.09103307,4.43232185,83.80497784,0.23866348,125.33242414,0.30685305,1.09103307,3.307194,0.54551654,4.02318445,0.27275827,12.58097511,10.9444255,40.74326628,,,3602906.77305603,14848.4565363,3602906.7730095,14848.4565363093
58,S02001870,Shawlands West,3573,3573,2123,32.239972,0.3224,3888,19440,0.41152263,1.69753086,0.92592593,10.49382716,1.49176955,2.98353909,58.59053498,0.61728395,82.15020576,0.05144033,0.66872428,1.69753086,1.44032922,3.08641975,0.30864198,7.09876543,8.02469136,33.43621399,,,322399.74577332,3532.13057822,322399.745745,3532.13057822943
59,S02001871,Shawlands East,3293,3293,1930,19.716182,0.197163,3593,17965,0.16699137,1.2246034,0.94628444,12.5800167,0.83495686,4.1747843,62.56610075,1.28026719,73.86585026,0.16699137,0.89062065,1.1689396,2.50487058,2.44920679,0.44531033,8.90620651,8.07124965,31.00473142,,,197161.80274963,2758.44063185,197161.802768,2758.44063184954
60,S02001872,Langside,4086,4027,2238,45.138886,0.45139,4573,22865,0.21867483,1.26831402,1.26831402,14.73868358,1.44325388,3.80494205,75.04920184,0.91843429,76.88607041,0.30614476,1.09337415,1.70566368,1.31204898,3.14891756,0.39361469,10.01530724,8.22217363,36.56243166,,,451388.84141541,4072.44501696,451388.8413855,4072.44501695956
61,S02001873,Pollokshaws,4487,4473,2589,383.451201,3.834513,4462,22310,0.40340654,3.98924249,1.38951143,19.94621246,1.34468848,4.25818019,89.87001345,3.58583595,157.32855222,0.1792918,1.12057373,2.68937696,6.09592111,5.69251457,0.35858359,6.7234424,13.7158225,59.97310623,1,,3834512.01828003,16175.79020038,3834512.0184375,16175.7902003756
62,S02001913,Carntyne,3419,3291,1710,72.731272,0.727314,3504,17520,3.13926941,15.23972603,1.65525114,21.06164384,2.73972603,0.74200913,132.42009132,6.90639269,218.77853881,0.2283105,1.36986301,1.82648402,17.1803653,7.07762557,0.85616438,3.13926941,30.99315068,221.23287671,7,Poorer Pensioners,727312.72761536,4761.82369107,727312.7275815,4761.8236910679
63,S02001914,"Cranhill, Lightburn and Queenslie South",6265,6126,2810,134.637811,1.346375,6554,32770,1.15959719,3.326213,1.15959719,17.05828502,4.11962161,1.09856576,97.19255417,1.86145865,145.89563625,0,0.33567287,1.92249008,4.08910589,4.63838877,0.27464144,2.25816295,21.81873665,137.83948734,,,1346378.11143494,9623.7545272,1346378.11144,9623.75452719846
64,S02001915,Craigend and Ruchazie,5100,5052,2457,137.094116,1.370945,5692,28460,0.63246662,2.95151089,1.44061841,17.25228391,3.79479972,0.77301476,110.18973999,2.2487702,143.64019677,0.21082221,0.28109628,1.96767393,4.42726634,4.56781448,0.24595924,1.72171469,22.62825018,133.48559382,,,1370941.18467712,9335.52839199,1370941.1845645,9335.52839199818
65,S02001916,Riddrie and Hogganfield,5861,5037,2353,219.678398,2.196787,5867,29335,0.78404636,3.40889722,0.98858019,12.68109766,2.52258394,0.85222431,89.0744844,1.80671553,119.82273734,0.13635589,0.40906767,1.70444861,2.99982956,4.22703255,0.40906767,2.01124936,17.99897733,116.89108573,,,2196783.97772217,9785.19459785,2196783.977809,9785.1945978477
66,S02001917,Blackhill and Barmulloch East,4421,4415,1981,128.553244,1.285532,4601,23005,1.1736579,2.60812867,0.91284503,11.99739187,3.17322321,0.82590741,138.44816344,1.99956531,134.10128233,0.26081287,0.26081287,2.3473158,3.60791132,4.12953706,0.3912193,1.52140839,23.51662682,119.5392306,,,1285532.44465637,7712.90939428,1285532.444649,7712.90939428067
